publisher,num_languages,%_positive_reviews,RPR
(none),1.0,73.23529411764706,3.663596504134421
11 bit studios,12.0,92.92458195882152,4.64855337462839
1C Entertainment,5.8,84.19216690081518,8.320674449610502
1C Game Studios,6.0,78.58472998137802,1.5720090014278458
1C-SoftClub,8.75,86.15444586777313,9.637054918845608
2D Heroes,1.0,90.0,18.03607214428857
2K,6.848484848484849,78.89939091130702,4.933060320629706
2tainment GmbH,2.0,38.888888888888886,1.6674077470731217
38 Studios,5.0,88.4461085851832,4.424517688103212
3909,9.0,96.54194179505993,9.663858037543536
3D Avenue,1.0,100.0,20.04008016032064
5 Lives Studios,7.0,75.75962187711006,2.5261627834981684
505 Games,10.666666666666666,82.24867281924536,5.003977982374242
89AM Studio,1.0,77.77777777777779,15.586729013582724
8Floor,3.8333333333333335,75.54561886609572,15.139402578375893
@unepic_fran,16.0,85.7976653696498,6.604901106208607
A.Y.std,14.0,67.96536796536796,8.506303875515389
ACE,6.5,61.9145226651588,10.531805088403642
AGM PLAYISM,4.0,96.68943664075124,7.252926171314049
AL-GAME,2.0,20.0,20.2020202020202
Abbey Games,5.0,85.02198184094122,6.202131468593555
Abstractive Works,1.0,6.666666666666667,2.229654403567447
Acid Wizard Studio,6.0,94.39328277356448,6.297083573953601
Activision,5.76,79.90194949845846,3.488458451162876
Activision Value Inc.,1.0,84.31208053691275,14.075472543725
Adriaan de Jongh,21.0,96.88090737240076,12.12527000906142
Adult Swim Games,5.25,93.27265329199233,5.318673478065752
Aerosoft GmbH,6.5,62.85484157500899,2.3982909926922518
Afterthought LLC,1.0,80.00374695559857,4.0021884420009295
Akella,2.0,56.55430711610487,3.772802342635415
Aksys Games,2.0,89.69957081545064,1.495242053933166
Alastair John Jack,1.0,75.67567567567568,25.30959052698183
Alawar Premium,11.0,71.86860479114,6.660669698529887
Alda Games,10.0,76.31578947368422,15.29374538550786
Alekseev,2.5,37.66233766233766,6.863523057362551
Almost Human Games,1.0,92.00001412190025,4.997401146333207
Amanita Design,15.0,94.5380063723259,9.463263901133724
Amaterasu Software,1.0,47.765151515151516,48.247627793082344
Amistech Games,1.0,91.49330042313116,6.103622443170858
Anamik Majumdar,1.0,0.0,0.0
Anate Studio,4.0,54.54545454545454,7.80335544284042
AndrÃƒÂ© Bertaglia,1.5,10.0,5.025125628140704
Anea_Duo_Dev,3.5,64.7985347985348,14.418120326704496
Annapurna Interactive,11.0,93.86655011655012,4.695675343499256
Another Indie,9.0,78.92249527410208,7.9001496770872945
Anvil Game Studios,10.0,88.93758500831193,4.449103802316755
Apoapsis Studios,1.0,83.07756117793447,5.195594820383644
App Holdings,4.0,73.34200260078023,6.116930992558818
Aquiris Game Studio,14.0,71.08140947752126,5.928391115723207
Arc System Works,5.0,94.99116087212728,3.16742783835036
Ardi Studio,1.0,77.08333333333333,77.86195286195286
Armor Games Studios,1.0,96.3914707490432,9.648795870775094
Art-Pulsar,3.0,31.57894736842105,10.561520859003696
Artur Rezende,2.0,33.33333333333333,33.67003367003367
Asmodee Digital,4.333333333333333,83.96742323915255,9.501660418313739
Aspyr,7.636363636363637,84.16398181810581,4.209920372446235
Asteristic Game Studio,7.0,90.98039215686276,15.188713214835186
Asteroid Base,11.0,94.95374264087468,6.334472491052347
Asymmetric,1.0,97.90575916230368,8.908622307761936
Atari,6.333333333333333,69.35227976336331,8.761673828324758
"Atari, Inc.",6.0,84.67153284671532,4.235694489580557
AtomTeam,2.0,85.12206356517734,5.67858996432137
Atomic Fabrik,1.0,47.05882352941176,23.647650014779774
AutoAttack Games,14.0,78.1198003327787,3.907943988633252
Autumn Games,7.0,95.06220341156856,9.51573607723409
Avalanche Studios,9.0,84.59954969443551,4.23209353148752
Axolot Games,11.0,90.87832191208425,4.546189190199312
BANDAI NAMCO Entertainment,8.8,83.50590231552704,2.2450941849488717
Back To Basics Gaming,1.0,57.823095732018466,54.85404827507068
BadWolf Games,2.0,66.66666666666666,6.673340006673339
