publisher,PGDR
11 bit studios,30.746475572202858
1C Entertainment,2.3272062304369436
1C Game Studios,5.067995506691967
1C-SoftClub,30.446681425547588
2D Heroes,-10.160929576511023
2K,6.926910618867461
2tainment GmbH,-3.1553293169899446
38 Studios,18.27360531115313
3909,153.848655097033
3D Avenue,-9.39214377528308
5 Lives Studios,3.871610083527639
505 Games,6.2130113056701886
89AM Studio,-7.279073738253025
8Floor,41.422414233437
@unepic_fran,27.333870950974426
A.Y.std,24.7343030678582
ACE,7.292934902705425
AGM PLAYISM,-31.325254002742454
AL-GAME,21198.404857184876
Abbey Games,17.132135602648344
Acid Wizard Studio,135.25924560602388
Activision,-18.389948194890554
Activision Value Inc.,-13.748288698463009
Adriaan de Jongh,14.66402075057924
Adult Swim Games,36.32515565169651
Aerosoft GmbH,-7.043642378393566
Afterthought LLC,41.16597636029784
Akella,3.463692736707146
Aksys Games,23.644762644594955
Alastair John Jack,71.44184771860343
Alawar Premium,-0.7927821163152378
Alda Games,-3.172469370445132
Alekseev,-609.7241509757921
Almost Human Games,16.747668352755866
Amanita Design,10.069761099623996
Amaterasu Software,1012.4841531917164
Anamik Majumdar,250.20504689626296
Anate Studio,2580.1958819179445
AndrÃƒÂ© Bertaglia,19.534842867436414
Anea_Duo_Dev,734.5871871034346
Annapurna Interactive,45.8193478077327
Another Indie,40.33852759214151
Anvil Game Studios,68.03746110581405
Apoapsis Studios,54.48239229816975
App Holdings,-3.353458160205772
Arc System Works,16.648999999838633
Ardi Studio,2549.93249332413
Armor Games Studios,2.9440710924677904
Artur Rezende,708.8882686936211
Asmodee Digital,59.13407074263582
Aspyr,-11.807052075961302
Asteristic Game Studio,1.1349067120858345
Asteroid Base,46.690230223874345
Asymmetric,36.51296141317282
Atari,3.7938001411118734
"Atari, Inc.",16.46907538447346
AtomTeam,154.90627188371298
Atomic Fabrik,4304.798018518702
AutoAttack Games,26.83023281273521
Autumn Games,16.480522252829047
Avalanche Studios,31.846579165372223
Axolot Games,150.61565990211457
BANDAI NAMCO Entertainment,12.697296034489918
Back To Basics Gaming,28018.629482672422
BadWolf Games,120.4368927444631
Badim,308.49145805790664
Bandai Namco,18.98749914579106
Bankroll Studios,200.73785215436607
Bare Mettle Entertainment,-68.55021183184712
Batterystaple Games,18.17485430847001
BattleGoat Studios,4.3792115747856215
Beam Team Pty Ltd,290.66146196246825
BeamNG,53.64993766431196
Beamdog,22.740001180032404
Beatshapers,69.10336978638193
Bedtime Digital Games,10.834180090770499
Behaviour Digital Inc.,14.028492871861324
Bennett Foddy,112.31197229782389
Berserk Games,53.14592266268071
Bethesda Softworks,43.617353104396194
Bethesda-Soft,57.47176303747985
Bethesda-Softworks,26.279824551810783
Big Ant Studios,-6.2966320456227844
Bigben Interactive,35.566547368346235
Bitbox Ltd.,14.111144889127758
Black Eye Games,5.735925981583351
Black Lime Studio,67.14368982277789
Black Maple Games,26.71566204931466
Black Shell Media,7.010447820546983
Blake Fix,-43.28958636693214
BlankMediaGames,20.19558392205
Blue Bottle Games,13.347452220917102
Blue Brain Games,95.25695463851136
Blue Isle Studios,204.5166373344944
Bohemia Interactive,9.024696068575654
Bossa Studios,7.732298343839103
Boxelware,226.592993682376
Brace Yourself Games,-1.4212403714730095
Brightrock Games,8.189422482905236
Brilliant Game Studios,-1.6706787405825736
Brilliant Skies Ltd.,189.3951199271381
"CAPCOM Co., Ltd.",23.267479128788803
